Run!	Fugi!
Tom had no chance to tell Mary what he thought.	Tom nu a avut nicio șansă să-i spună lui Mary ceea ce gândea.
Tom has a distinctive scar under his right eye.	Tom are o cicatrice distinctivă sub ochiul drept.
Tom has never exhibited any violent tendencies.	Tom nu a avut niciodată înclinații violente.
Tom is the majority shareholder in the company.	Tom este acționarul majoritar al companiei.
Tom knows what to say to make Mary forgive him.	Tom știe ce să spună ca să o facă pe Mary să-l ierte.
Tom left a message on Mary's answering machine.	Tom i-a lăsat Mariei un mesaj pe robot.
Tom showed his passport to the man at the gate.	Tom i-a arătat pașaportul său omului de la poartă.
Tom still has the knapsack his father gave him.	Tom încă are rucsacul pe care tatăl său i l-a dat.
Tom thinks I'm always putting myself in danger.	Tom crede că eu mereu mă expun pericolului.
We estimate the damage at one thousand dollars.	Estimăm daunele la o mie de dolari.
We took a back road to avoid the heavy traffic.	Noi am luat-o pe un drum secundar ca să evităm traficul intens.
We took refuge from the storm in a nearby barn.	Ne-am adăpostit de furtună într-un hambar apropiat.
We took refuge from the storm in a nearby barn.	Ne-am ascuns de furtună într-o magazie din apropiere.
We're getting out of here. The cops are coming.	Plecăm de aici. Vin polițiștii.
What did you buy this expensive dictionary for?	Pentru ce ai cumpărat acest dicţionar costisitor?
When did you first notice that Tom was missing?	Când ai observat prima dată că Tom lipsește?
Which is easier to read, this book or that one?	Care este mai uşor de citit, această carte sau aceea?
You are the last person I expected to see here.	Eşti ultima persoană pe care mă aşteptam să o văd aici.
You can save a lot of money if you buy in bulk.	Puteți economisi o grămadă de bani dacă cumpărați în vrac.
You should have known better than to trust him.	Ar fi trebuit să fii mai atent și să nu te încrezi în el.
A newspaper printed a story about the operation.	Un ziar a printat o poveste despre operațiune.
All parents like to have their children praised.	Tuturor părinţilor le place să-şi vadă copiii lăudaţi.
All the passengers got seasick during the storm.	Toți pasagerii au avut rău de mare în timpul furtunii.
Although he's young, he's an outstanding doctor.	Deși este tânăr, este un doctor remarcabil.
Banks across the country had closed their doors.	Bănci în toată țara și-au închis porțile.
Before going home, I have a few drinks to relax.	Înainte de a mă duce acasă, iau câteva băuturi pentru relaxare.
Benjamin Harrison's campaign was well-organized.	Campania lui Benjamin Harrison a fost bine organizată.
Besides being a surgeon, he was a famous writer.	Pe lângă că era chirurg, el mai era și un scriitor celebru.
Churches are designated on the map with crosses.	Bisericile sunt marcate pe hartă cu cruci.
Clay did not agree with all of Adams's policies.	Clay nu a fost de acord cu toate politicile lui Adams.
Communism was the biggest issue in the campaign.	Comunismul a fost marea problemă în campanie.
Could you tell me the way to the subway station?	Poți să-mi spui cum să ajung la stația de metro?
Did God really create the earth in a single day?	Dumnezeu chiar a creat Pământul într-o singură zi?
Dwight Eisenhower was elected president in 1952.	Dwight Eisenhower a fost ales președinte în 1952.
Families began to have fewer and fewer children.	Familiile au început să aibă din ce în ce mai puțini copii.
Few roads existed in North America at that time.	Puține drumuri existau în America de Nord la acea vreme.
From now on, I'm going to say what's on my mind.	De acum înainte voi spune ce gândesc.
He has consistently endeavored to help the poor.	El s-a străduit în mod constant să-i ajute pe cei săraci.
He is older than any other student in his class.	E mai în vârstă decât orice alt elev din clasa lui.
He now was sixty-eight years old and a sick man.	Acum era de şaizeci şi opt de ani şi un om bolnav.
He took over the business after his father died.	A preluat afacerea după decesul tatălui său.
He works as a teacher, but actually he is a spy.	Lucrează ca profesor, dar de fapt este spion.
How did the new president deal with the problem?	Cum s-a descurcat noul președinte cu problema?
How do you know that Tom isn't a native speaker?	Cum știi că Tom nu e un vorbitor nativ?
How do you know that Tom isn't a native speaker?	Cum îți dai seama că Tom nu e un vorbitor nativ?
I anticipated a quiet vacation in the mountains.	Am anticipat o vacanță liniștită în munți.
I didn't mean to eavesdrop on your conversation.	Nu am intenționat să trag cu urechea la conversația voastră.
I didn't understand the second-to-the-last line.	Nu am înțeles penultimul rând.
I forgot to turn off the TV before going to bed.	Am uitat să opresc televizorul înainte de a ma duce la culcare.
I have never come across such a stubborn person.	Nu am întâlnit niciodată o persoană atât de încăpățânată.
I have never come across such a stubborn person.	Nu am dat niciodată peste o persoană atât de încăpățânată.
I received your letter the day before yesterday.	Am primit scrisoarea dumneavoastră alaltăieri.
I received your letter the day before yesterday.	Am primit scrisoarea ta alaltăieri.
I shouldn't have drunk that last bottle of beer.	N-ar fi trebuit să beau acea ultimă sticlă de bere.
I think it's time for me to get my eyes checked.	E timpul pentru mine să-mi fac un control la ochi.
I used to be young and ambitious, just like you.	Am fost exact ca tine, tânăr și ambițios.
I'm sorry. I didn't realize it was that serious.	Îmi pare rău. Nu mi-am dat seama că era așa de serios.
In September, 1929, stock prices stopped rising.	În septembrie 1929, prețurile acțiunilor au încetat să crească.
In the end, the Germans were forced to withdraw.	La final, germanii au fost forțați să se retragă.
In times like this, we should all pull together.	În momente de genul ăsta, noi ar trebui să lucrăm împreună.
Is it true that men have oilier skin than women?	Este adevărat că bărbaţii au pielea mai grasă decât femeile?
It is a four-hour drive from New York to Boston.	De la New York la Boston e un drum de patru ore.
It seems like you know me, but I don't know you.	Se pare că tu mă cunoști, dar eu nu.
It took me a long time to get used to the noise.	Mi-a luat mult timp să mă obişnuiesc cu zgomotul.
It's OK to eat the rest of the cake if you want.	E OK să mănânci restul de tort dacă vrei.
It's a shame to stay indoors on a day like this.	Este o rușine să se rămână în casă într-o zi ca asta.
Marilyn Monroe's success did not make her happy.	Succesul nu a făcut-o fericită pe Marilyn Monroe.
McKinley spent three-and-a-half-million dollars.	McKinley a cheltuit trei milioane și jumătate de dolari.
Most of the passengers on the bus were sleeping.	Majoritatea pasagerilor din autobuz dormeau.
New factories and industrial centers were built.	Noi fabrici și centre industriale au fost construite.
No one in his class can run faster than he does.	Nimeni din clasa lui nu aleargă mai repede decât o face el.
One of the big issues in the campaign was taxes.	Una dintre marile probleme din campanie a fost legată de taxe.
People called for an immediate invasion of Cuba.	Oamenii au solicitat o invazie imediată a Cubei.
People normally breathe 12 to 20 times a minute.	Oamenii respiră în mod normal de la douăsprezece până la douăzeci de ori pe minut.
Perhaps Tom is too old to do this kind of thing.	Poate că Tom e prea în vârstă ca să facă un astfel de lucru.
Perhaps you could learn a thing or two from Tom.	Poate c-ai avea ceva de invatat de la Tom.
She advised him to walk instead of taking a bus.	Ea l-a sfătuit să meargă pe jos în loc să ia un autobuz.
She stood transfixed as if she had seen a ghost.	Ea a încremenit în picioare ca și cum ar fi văzut o fantomă.
She wants to buy a car, but she can't afford to.	Ea vrea să cumpere o mașină, dar nu poate să-și permită.
Shepard remained in space only about 15 minutes.	Shepard a rămas în spațiu doar pentru 15 minute.
Speak more slowly so that we can understand you.	Vorbește mai rar ca să te înțelegem.
That was where the two armies would fight again.	Acela a fost locul unde cele două armate se vor bate din nou.
That's something I learned from reading history.	Asta e ceva ce am învățat citind istoria.
The Colonel said the situation is under control.	Colonelul a zis că situaţia este sub control.
The Mormons left Illinois in the spring of 1846.	Mormonii au părăsit orașul Illinois în primăvara anului 1846.
The New York Stock Exchange closed for ten days.	Bursa de acțiuni de la New York s-a închis pentru zece zile.
The Thirteenth Amendment freed all Negro slaves.	Al treisprezecelea Amendament a eliberat toți sclavii negri.
The cost of building the railroad was very high.	Costul construirii căii ferate a fost foarte mare.
The court found him guilty and ordered him shot.	Tribunalul l-a găsit vinovat și l-a condamnat la moarte prin împușcare.
The depressed economy showed signs of improving.	Economia slăbită a dat semne de îmbunătățire.
The earliest civilizations arose in Mesopotamia.	Cele mai timpurii civilizații s-au născut în Mesopotamia.
The exhibition will stay open for another month.	Expoziția este deschisă încă o lună.
The only person who could have done this is Tom.	Singura persoană care ar fi putut să facă asta e Tom.
The other colonies began sending troops to help.	Celelalte colonii au început să trimită trupe pentru a ajuta.
The other policemen began shooting at the crowd.	Ceilalți polițiști au început să tragă în mulțime.
The police found a suicide note in Tom's pocket.	Poliția a găsit un bilet de adio în buzunarul lui Tom.
The soldiers halted at the entrance to the town.	Soldații s-au oprit la intrarea în oraș.
The truth is that I didn't want to eat with Tom.	Adevărul este că nu am vrut să mănânc cu Tom.
Their next attack was northeast of Paris in May.	Următorul lor atac a fost la nord-est de Paris în luna mai.
This is an impressive technological achievement.	Aceasta este o realizare tehnologică impresionantă.
This is the most beautiful flower in the garden.	Aceasta este cea mai frumoasă floare din grădina.
Today, most people in the world condemn slavery.	Astăzi, cei mai multți oameni din lume condamnă sclavia.
Tom accepted the nomination for class president.	Tom a acceptat candidatura pentru președinția clasei.
Tom and Mary are a perfect match for each other.	Tom și Mary sunt partenerul perfect unul altuia.
Tom doesn't believe Mary. He thinks she's lying.	Tom nu o crede pe Mary. El crede că ea minte.
Tom doesn't care about what Mary says about him.	Lui Tom nu-i pasă ce spune Mary despre el.
Tom doesn't doubt that Mary will arrive on time.	Tom nu are dubii că Mary va sosi la timp.
Tom had a little trouble adjusting the settings.	Tom a avut ceva probleme la ajustarea setărilor.
Tom had a little trouble adjusting the settings.	Tom a avut ceva probleme la configurarea parametrilor de funcţionare.
Tom has a pain in his big toe on his right foot.	Tom are o durere la degetul mare al piciorului drept.
Tom has already seen the best years of his life.	Tom a trecut de cei mai buni ani ai vieții lui.
Trucks made it easy for goods to be transported.	Camioanele au făcut ca bunurile să fie transportate în mod facil.
West Berlin would remain free of Soviet control.	Berlinul de Vest ar rămâne liber de controlul sovietic.
You can have the seat by the window if you want.	Poți avea locul de la fereastră dacă vrei.
You cannot kill yourself by holding your breath.	Ne te poţi sinucide ţinându-ţi respiraţia.
You'd be surprised what you can learn in a week.	Ai fi surprins de ceea ce se poate învăța într-o săptămână.
"Did he write a letter yesterday?" "Yes, he did."	- A scris ieri o scrisoare? - Da.
A barber is a man who shaves and cuts men's hair.	Un frizer e un om care rade și taie părul bărbaților.
A monument was erected in memory of the deceased.	Un monument a fost ridicat în memoria persoanei decedate.
A niece is a daughter of one's brother or sister.	Nepoata este fiica fratelui sau surorii tale.
Anything that is too stupid to be spoken is sung.	Orice lucru care e prea stupid să fie spus este cântat.
Are you seriously thinking about eating all that?	Te gândești serios să mănânci toată aia?
At that time, tariffs were high on many products.	La acea vreme taxele erau mari pentru multe produse.
At the time, the incident did not seem important.	La acel moment incidentul nu a părut important.
Benjamin Franklin then told a funny little story.	Apoi Benjamin Franklin a spus o scurtă poveste nostimă.
Cattle would not eat grass where sheep had eaten.	Vitele nu mănâncă iarba de unde au mâncat oile.
Cost is a definite factor in making our decision.	Costul este un factor determinant în luarea deciziei noastre.
Did Tom meet the criteria for passing this class?	A îndeplinit Tom criteriile pentru a trece această clasă?
Electrical appliances have made housework easier.	Aparatele electrice au făcut activitățile casnice mai ușoare.
Everybody knows that he likes her and vice versa.	Toți știu că el o place pe ea și invers.
He couldn't get his ideas across to the students.	El nu putea să-și explice clar ideile studenților.
His father had served as a United States senator.	Tatăl său a fost senator al Statelor Unite.
His proposal started a debate that lasted a year.	Cererea sa a stârnit o dezbatere care a ținut un an.
History experts still are not sure what happened.	Experții istorici încă nu sunt siguri ce s-a întâmplat.
How about starting again from the very beginning?	Ce-ar fi să începi din nou chiar cu începutul?
Hull was given immediate orders to invade Canada.	Lui Hull i s-au dat ordine urgente să invadeze Canada.
Hundreds of thousands of people were out of work.	Sute de mii de oameni erau fără loc de muncă.
I don't know what to say to make you feel better.	Nu știu ce să spun pentru a face să te simți mai bine.
I think it's time for me to contact him by phone.	Cred că e vremea să-l contactez prin telefon.
I think it's time for me to give her a ride home.	Cred că e timpul pentru mine să o conduc acasă.
I used to keep a diary when I was at high school.	Când eram la liceu țineam un jurnal.
I wasn't able to remember the title of that song.	Nu am fost în stare să-mi amintesc titlul cântecului.
I'd rather stay home if it's all the same to you.	Mai degrabă aş sta acasă dacă ţie ţi-e egal.
I'd rather stay home if it's all the same to you.	Mai degrabă aş sta acasă dacă pentru tine e totuna.
I'm planning on going to the beach tomorrow, too.	Am în plan să merg la plajă mâine și eu.
If it sounds too good to be true, it probably is.	Dacă pare prea bun ca să fie adevărat, probabil că este.
If you don't believe me, go and see for yourself.	Dacă nu mă credeți, voi înșivă mergeți și vedeți.
In late August, the Allied forces captured Paris.	La sfârșitul lui august forțele aliate au capturat Parisul.
Is it true that you are going to study in London?	E adevărat că o să studiezi la Londra?
Just staying alive in these times is hard enough.	Doar ca să te menții în viață este suficient de greu în aceste timpuri.
Let's unfold the map on the table and discuss it.	Hai să despăturim harta pe masă și să discutăm despre ea.
Many countries have abolished capital punishment.	Multe ţări au abolit pedeapsa capitală.
Many fantasy novels depict worlds with two moons.	Multe romane fantastice descriu lumi cu două luni.
McKinley demanded an immediate ceasefire in Cuba.	McKinley a cerut o încetare imediată a focului în Cuba.
More than 75% of farms raised pigs and milk cows.	Mai mult de 75% dintre ferme au crescut porci și vaci pentru lapte.
More than half of the Union troops were captured.	Mai mult de jumătate din trupele Uniunii au fost capturate.
Most of the Dutch in New Amsterdam did not leave.	Cei mai mulți dintre olandezii din Noul Amsterdam nu au plecat.
North Korea decided the time was right to invade.	Coreea de Nord a decis că timpul e potrivit pentru a invada.
Only one other president had ever been impeached.	Doar un singur alt președinte mai fusese acuzat.
Petroleum has been important since ancient times.	Țițeiul este important din timpuri străvechi.
President Polk was old, tired and in poor health.	Președintele Polk era în vârstă, obosit și într-o condiție precară de sănătate.
Schools and roads are services paid for by taxes.	Școlile și drumurile sunt servicii plătite din taxe.
Students should make the most of their free time.	Studenţii ar trebui să îşi folosească la maximum timpul lor liber.
That was probably what influenced their decision.	Aceea a fost probabil ceea ce a influențat decizia lor.
The Kaiser asked Theodore Roosevelt to intervene.	Kaizerul i-a cerut lui Theodore Roosevelt să intervină.
The Supreme Court ruled that the law was illegal.	Curtea Supremă a hotărât că legea era ilegală.
The capital city of the Netherlands is Amsterdam.	Capitala Olandei este Amsterdam.
The first sign of trouble came in September 1945.	Primul semn al necazului a venit în septembrie 1945.
The group stayed at Fort Clatsop for four months.	Grupul a stat la fortul Clatsop pentru patru luni.
The hijackers were from Middle Eastern countries.	Pirații aerului erau din țări ale Orientului Mijlociu.
The majority of voters liked what Roosevelt said.	Celor mai mulți votanți le-a plăcut ceea ce a spus Roosevelt.
The man had just returned from a visit to Europe.	Bărbatul tocmai s-a întors dintr-o vizită în Europa.
The people of Massachusetts were extremely angry.	Oamenii din Massachusetts erau extrem de furioși.
The person I look forward to working with is Tom.	Persoana cu care aștept să lucrez cu nerăbdare este Tom.
The police have been searching for Tom for years.	Poliția îl caută pe Tom de ani buni.
The president was forced to return to Washington.	Președintele a fost obligat să se reîntoarcă la Washington.
The presidential election of 1876 was very close.	Alegerile prezidențiale din 1876 au fost foarte strânse.
The roar of their own cannons was extremely loud.	Bubuitul tunurilor lor era extrem de tare.
The security team checked the car for explosives.	Echipa de securitate a verificat mașina de explozibili.
There's no doubt that Tom used to live in Boston.	Nu e nicio îndoială că Tom obișnuia să locuiască în Boston.
They got to the station only a few minutes apart.	Au ajuns în staţie la doar câteva minute distanţă.
This is the most interesting book I've ever read.	Asta este cea mai interesantă carte pe care am citit-o vreodată.
This violated the rules of the police department.	Aceasta a violat regulile departamentului de poliție.
Thousands of men were on their way to Washington.	Mii de oameni erau în drum spre Washington.
To make a long story short, everything went fine.	În varianta scurtă, totul a mers cum trebuia.
Tom doesn't know when Mary will leave for Boston.	Tom nu știe când Mary va pleca la Boston.
Tom doesn't know where Mary learned how to drive.	Tom nu știe unde a învățat Mary să conducă.
Tom doesn't know why Mary dropped out of college.	Tom nu știe de ce Mary a renunțat la facultate.
Tom found the treasure at the bottom of the lake.	Tom a găsit comoara pe fundul lacului.
Tom opened the trunk and took out the spare tire.	Tom a deschis portbagajul și a scos roata de rezervă.
Tom plays the guitar almost as well as Mary does.	Tom cântă la chitara aproape la fel de bine ca Mary.
Tom was happy that his landlord lowered the rent.	Tom era fericit că proprietarul său a scăzut chiria.
Tom was walking too fast for me keep up with him.	Tom mergea prea repede ca să țin pasul cu el.
Tom's sentence was 25 hours of community service.	Sentinţa lui Tom a fost de 25 de ore în serviciul comunităţii.
Traveling by boat takes longer than going by car.	A călători cu vaporul durează mai mult decât a călători cu maşina.
Truman arrived at the White House within minutes.	Truman a sosit la Casa Albă în câteva minute.
We confirmed the hotel reservations by telephone.	Am confirmat telefonic rezervarea la hotel.
We congratulated him on passing the examinations.	L-am felicitat cu ocazia susţinerii examenului.
We hid behind a bush so that no one would see us.	Ne-am ascuns după un tufiş pentru ca nimeni să nu ne vadă.
We should never judge people by their appearance.	Niciodată nu trebuie să judecăm oamenii după înfățișarea lor.
We took it for granted that he had been punished.	Am considerat ca de la sine înţeles că fusese pedepsit.
What has made you decide to work for our company?	Ce v-a făcut să vă decideţi să lucraţi pentru compania noastră?
Who was the greatest philosopher that ever lived?	Cine a fost cel mai mare filozof care a trăit vreodată?
Why are you sorry for something you haven't done?	De ce îți pare rău pentru ceva ce n-ai făcut?
You ought to work hard regardless of your income.	Indiferent de venitul tău, ar trebui să muncești din greu.
You should pay more attention to your own safety.	Ar trebui să fii mai atent cu propria siguranţă.
"Where have you been?" "I've been to the dentist."	- Unde ai fost? - Am fost la dentist.
"Why aren't you going?" "Because I don't want to."	- De ce nu te duci? - Pentru că nu vreau.
A bad writer's prose is full of hackneyed phrases.	Proza proastă a unui scriitor este plină de fraze banale.
A lack of sleep affected the singer's performance.	O lipsă de somn a afectat prestația cântărețului.
Are you seriously thinking about getting involved?	Te gândești serios să te implici?
Brigham Young continued to lead the Mormon church.	Brigham Young a continuat să conducă biserica mormonilor.
Catholics could not openly observe their religion.	Catolicii nu pot să-și arate religia în mod fățiș.
China is working to modernize its weapons program.	China lucrează la modernizarea programului ei de înarmare.
Do you have any idea what time Tom will come home?	Ai vreo idee la ce oră va ajunge Tom acasă?
Dwight Eisenhower was the candidate for president.	Dwight Eisenhower a fost candidatul pentru președenție.
Everybody knows for a fact that he is still alive.	Toată lumea ştie că încă este în viaţă.
Four hundred fifty black pilots were in the group.	Patru sute cincizeci de piloți negri erau în grup.
Grades are important, but they are not everything.	Notele sunt importante, dar nu sunt totul.
He took advantage of my ignorance and deceived me.	A profitat de ignoranţa mea şi m-a înşelat.
I always tie my shoes tightly before I go jogging.	Întotdeauna îmi leg șireturile bine, înainte să plec la jogging.
I assume that at some point Tom will just give up.	Presupun că la un moment dat, Tom va renunța.
I don't care how much it itches. Don't scratch it.	Nu-mi pasă cât de mult te mănâncă. Nu o scărpina.
I don't think Tom knows where Mary parked her car.	Nu cred că Tom știe unde și-a parcat Mary mașina.
I have not eaten anything for the last three days.	N-am mai mâncat ceva de vreo trei zile.
I knew you wouldn't want to go to Boston with Tom.	Știam că nu ți-ai dori să mergi la Boston cu Tom.
I still think it's unlikely that he'll come today.	Încă cred că e puțin probabil ca el să vină azi.
I think it's time for me to get a bit of exercise.	Cred că e vremea pentru mine să fac câte un pic de mișcare.
I think you should tell Tom what he wants to know.	Cred că ar trebui să îi spui lui Tom ceea ce el vrea să știe.
I'm not going to do to you what you want me to do.	Nu am de gând să-ți fac ceea ce-mi ceri.
If you can't make it, call us as soon as possible.	Dacă nu poți să vii, să ne suni cât mai repede posibil.
In New York, the dollar was worth eight shillings.	În New York dolarul valora opt șilingi.
In city after city, big public meetings were held.	Oraș după oraș, largi întâlniri publice au avut loc.
In her free time, she likes to be on the Internet.	În timpul lui liber, îi place să fie pe Internet.
In the wagon were a few tools and some extra guns.	În vagon erau câteva unelte și niște pistoale în plus.
It was not until the next day that they found her.	De abia ziua următoare ei au găsit-o.
It's Monday today and it will be Tuesday tomorrow.	Azi e luni şi mâine va fi marţi.
It's gotten dark. Please turn on the light for me.	S-a întunecat. Te rog aprinde lumina pentru mine.
Lee did not agree that the situation was hopeless.	Lee nu a fost de acord că situația era fără speranță.
My physics teacher doesn't care if I skip classes.	Profesorului meu de fizică nu-i pasă dacă chiulesc.
One of the bullets struck McKinley in the stomach.	Unul dintre gloanțe l-a lovit pe McKinley în stomac.
One old man came to Jackson from Albany, New York.	Un bărbat în vârstă a venit în Jackson de la Albany, New York.
President Clinton denied any dishonorable actions.	Președintele Clinton a negat orice acțiuni dezonorabile.
Shares of these companies were sold to the public.	Acțiunile acestor comnpanii au fost vândute publicului.
Some believed Nixon should have been put on trial.	Unii credeau că Nixon ar fi trebuit să fie trimis în judecată.
Some of the tariffs were as high as sixty percent.	Unele dintre taxe ajungeau și la 60%.
Some people traveled by train, and others by road.	Unii oameni călătoresc cu trenul și alții pe drumuri.
Somebody has to be held accountable for his death.	Cineva trebuie să fie tras la răspundere pentru moartea sa.
Somebody has to be held accountable for his death.	Cineva trebuie să fie tras la răspundere pentru moartea lui.
Tell me why you were absent from school yesterday.	Spune-mi de ce ai lipsit ieri de la școală.
That crisis threatened to split the nation in two.	Acea criză a amenințat să împartă națiunea în două.
That's the worst thing that could possibly happen.	Ăsta este cel mai rău lucru care se putea întâmpla.
The Communists launched a major military campaign.	Comuniștii au lansat o însemnată campanie militară.
The Europeans often paid Indians to work for them.	Deseori europenii îi plătesc pe indieni să muncească pentru ei.
The Marines quickly defeated the communist forces.	Forțele marine au înfrânt repede forțele comuniste.
The accent of this word is on the second syllable.	Accentul în acest cuvânt cade pe a doua silabă.
The cold weather may keep the plants from budding.	Vremea rece ar putea împiedica plantele să înmugurească.
The government's investment will create many jobs.	Investiția guvernului va crea multe locuri de muncă.
The judge found Scopes guilty of breaking the law.	Judecătorul l-a găsit vinovat pe Scopes de încălcarea legii.
The moment I saw him, I knew he was angry with me.	În clipa în care l-am văzut, am știut că e supărat pe mine.
The official dinner took place at the White House.	Dineul oficial a avut loc la Casa Albă.
The talks will deal with the problem of pollution.	Discuțiile o să cuprindă problema poluării.
There is indisputable proof that Tom is the thief.	Există o dovadă de netăgăduit că Tom este hoțul.
There is indisputable proof that Tom is the thief.	Există dovezi incontestabile că Tom este hoțul.
There will be an energy crisis in the near future.	În viitorul apropiat va fi o criză energetică.
They defended their homeland against the invaders.	Ei își apărau patria împotriva invadatorilor.
This bill was sent to the Senate for its approval.	Acest proiect de lege a fost trimis la Senat pentru aprobarea sa.
This is a very interesting investment opportunity.	Aceasta este o oportunitate de investiție foarte interesantă.
Tom buttoned up his shirt and then put on his tie.	Tom și-a închis nasturii la cămașă și și-a pus cravata.
Tom can't forgive himself for what he did to Mary.	Tom nu se poate ierta pe el însuși pentru ceea ce i-a făcut lui Mary.
Tom certainly knows a thing or two about business.	Tom se vede ca stie ceva despre afaceri.
Tom didn't want to talk about that over the phone.	Tom nu a vrut să vorbească despre asta la telefon.
Tom doesn't like people who don't show up on time.	Lui Tom nu-i plac oamenii care sosesc târziu.
Tom doesn't like people who don't show up on time.	Lui Tom nu-i plac oamenii care nu sosesc la timp.
Tom is the president of a small company in Boston.	Tom este președintele unei mici companii din Boston.
Tom keeps an extra tie in his desk drawer at work.	Tom ține o cravată în plus în sertarul din biroul de la muncă.
Tom says that learning a foreign language is hard.	Tom spune că învățarea unei limbi străine este dificilă.
Tom shouldn't have compared his teacher to Hitler.	Tom n-ar fi trebuit să-şi compare profesorul cu Hitler.
Tom showed reckless disregard for Mary's feelings.	Tom a arătat o lipsă de respect pentru sentimentele Mariei.
Tom showed reckless disregard for Mary's feelings.	Tom a etalat o lipsă de respect pentru sentimentele Mariei.
Tom took his coat out of the closet and put it on.	Tom și-a scos haina din șifonier și s-a îmbrăcat cu ea.
Tom's friends were very kind when he lost his job.	Prietenii lui Tom au fost foarte amabili când el și-a pierdut serviciul.
We are never as happy or as unhappy as we imagine.	Nu suntem niciodată atât de fericiţi sau de nefericiţi pe cât credem.
We must strengthen the ties between our countries.	Trebuie să consolidăm legăturile dintre țările noastre.
When he was a child, he went to Paris three times.	Pe când era copil, a fost la Paris de trei ori.
Why don't you come to my house in the near future?	De ce nu vii la mine acasă în viitorul apropiat?
Without gravity we would be hurled off into space.	Fără gravitaţie, am fi aruncaţi în spaţiu.
Would you like us to bring anything to the dinner?	Ai vrea ca noi să aducem ceva la cină?
Year after year, production continued to increase.	An după an, producția a continuat să crească.
Yellow fever and smallpox were no longer a threat.	Febra galbenă și variola nu mai erau o amenințare.
You must bring your passport with you to the bank.	Tu trebuie să aduci cu tine la bancă pașaportul tău.
After he heard the news, Tom was in seventh heaven.	După ce a auzit știrea, Tom era în al nouălea cer.
Are you seriously thinking about driving all night?	Te gândești serios să conduci toată noaptea?
Are you seriously thinking about getting a divorce?	Te gândești serios să divorțezi?
Are you sure there's nothing else I can do to help?	Ești sigur că nu mai este nimic altceva ce aș putea face să te ajut?
As far as I know, he has never made such a mistake.	Din câte știu, el nu a făcut niciodată aşa o greşeală.
Because of the storm, the ship couldn't leave port.	Din cauza furtunii, nava nu a putut părăsi portul.
Coffee prices have jumped almost 50% in six months.	Prețul cafelei s-a mărit cu aproape 50% în șase luni.
Coffee prices have jumped almost 50% in six months.	Prețul cafelei a sărit cu aproape 50% în șase luni.
Did you break the window on purpose or by accident?	Ai spart fereastra în mod intenționat sau din greșeală?
During the war, people went through many hardships.	În timpul războiului, oamenii au trecut prin multe greutăți.
During the war, people went through many hardships.	Pe durata războiului, oamenii au trecut prin multe greutăți.
Elephants are the largest land animals alive today.	Elefanţii sunt cele mai mari animale terestre în viaţa astăzi.
For some reason the microphone didn't work earlier.	Dintr-un motiv sau altul microfonul nu funcționa adineauri.
He reached out for the sugar that was on the table.	El s-a întins să ia zahărul care era pe masă.
How can you be so passive? Why don't you retaliate?	Cum poți fi atât de pasivă? De ce nu te răzbuni?
How can you be so passive? Why don't you retaliate?	Cum poți fi atât de pasiv? De ce nu te răzbuni?
How long does it take to the train station by taxi?	Cît timp va dura călătoria cu taxiul pînă la gara feroviară?
I advise you not to borrow money from your friends.	Te sfătuiesc să nu împrumuți bani de la prietenii tăi.
I agree with your interpretation to a large extent.	Sunt de acord cu interpretarea ta, într-o mare măsură.
I ate dinner last night, but I don't think Tom did.	Eu am luat cina aseară, dar nu cred că Tom a luat-o.
I can't tell her now. It's not that simple anymore.	Nu-i pot spune acum. Deja nu mai e așa simplu.
I didn't mean to eavesdrop, but I did overhear you.	Nu am vrut să trag cu urechea, dar am auzit fără să vreau.
I just want to know what I'm getting involved with.	Vreau doar să știu în ce mă implic.
I sometimes feel hungry in the middle of the night.	Câteodată mi se face foame în mijlocul nopții.
I think you should tell Tom why you don't like him.	Cred că ar trebui să îi spui lui Tom de ce nu îți place de el.
I want a boat that will take me far away from here.	Vreau o barcă care să mă ducă departe de aici.
I was wondering if you were going to show up today.	Mă întrebam dacă ai de gând să apari azi.
I'm looking forward to watching the movie with her.	Aștept cu nerăbdare să văd filmul cu ea.
If he wants to succeed at all, he must work harder.	Dacă vrea câtuşi de puţin să reuşească, trebuie sa muncească mai mult.
If you can't have children, you could always adopt.	Dacă nu poți avea copii, ai putea oricând adopta.
If you come across my book, will you send it to me?	Dacă îmi găsești cartea, mi-o trimiți?
If you come across my book, will you send it to me?	Dacă dai peste cartea mea, mi-o trimiți?
In situations like these, it's best to remain calm.	În situaţii ca acestea, e mai bine să rămâi calm.
In spite of his anger, he listened to me patiently.	În ciuda faptului că era furios, m-a ascultat cu răbdare.
It would take forever for me to explain everything.	Ar dura o veșnicie să explic tot.
It's already 2:30 and Tom and Mary aren't here yet.	Este deja 2:30 și Tom și Mary nu sunt încă aici.
It's just a picture I downloaded from the Internet.	E doar o poză pe care am descărcat-o de pe Internet.
It's not what you say, but what you do that counts.	Nu ceea ce zici, ci ceea ce faci contează.
It's one of the most beautiful cities in the world.	Este unul dintre cele mai frumoase orașe din lume.
Let go of my arm! I can't stand people touching me.	Dă-mi drumul la braț! Nu suport oamenii care mă ating.
More and more people have a computer in their home.	Din ce în ce mai mulți oameni au calculatoare acasă.
My sister and I go to the movies from time to time.	Uneori mă duc cu sora mea la cinema.
People have already promised money for his project.	Oamenii promiseseră deja bani pentru proiectul său.
